# Funções extraídas de libfs18.so
# Endereço           | Nome Original                            | Nome Demangled
----------------------------------------------------------------------------------------------------
00000000001f65bc   | _ZN14TrafficVehicle13enqueueRenderEP5PlaneP24GLESHandheldRenderDevice | TrafficVehicle::enqueueRender(Plane*, GLESHandheldRenderDevice*)
000000000034b5cc   | png_get_x_offset_inches_fixed            | png_get_x_offset_inches_fixed
00000000001e7b50   | _ZN4Tank22resetFillLevelIfNeededEN9FruitUtil10FILL_TYPESE | Tank::resetFillLevelIfNeeded(FruitUtil::FILL_TYPES)
00000000003119c0   | _ZTv0_n24_NSt6__ndk114basic_ofstreamIcNS_11char_traitsIcEEED1Ev | virtual thunk to std::__ndk1::basic_ofstream<char, std::__ndk1::char_traits<char> >::~basic_ofstream()
0000000000384d24   | _ZNKSt6__ndk17num_putIcNS_19ostreambuf_iteratorIcNS_11char_traitsIcEEEEE6do_putES4_RNS_8ios_baseEcl | std::__ndk1::num_put<char, std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> > >::do_put(std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> >, std::__ndk1::ios_base&, char, long) const
00000000001b0b7c   | _ZN4BaleC1Ev                             | Bale::Bale()
00000000002586c0   | _ZN13GameStateLogoD1Ev                   | GameStateLogo::~GameStateLogo()
000000000026f2dc   | _ZNK12b2MouseJoint10GetAnchorBEv         | b2MouseJoint::GetAnchorB() const
000000000028fd1c   | _ZN3Cki9AudioUtil7convertEPKiPfi         | Cki::AudioUtil::convert(int const*, float*, int)
0000000000385828   | _ZNKSt6__ndk17num_putIcNS_19ostreambuf_iteratorIcNS_11char_traitsIcEEEEE6do_putES4_RNS_8ios_baseEcm | std::__ndk1::num_put<char, std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> > >::do_put(std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> >, std::__ndk1::ios_base&, char, unsigned long) const
00000000003a377c   | _ZNKSt6__ndk120__time_get_c_storageIcE7__am_pmEv | std::__ndk1::__time_get_c_storage<char>::__am_pm() const
00000000003cf548   | _ZNSt14overflow_errorD1Ev                | std::overflow_error::~overflow_error()
000000000021236c   | _ZN13EntityManager34loadVehicleAndToolTexturesInternalEP24GLESHandheldRenderDevice | EntityManager::loadVehicleAndToolTexturesInternal(GLESHandheldRenderDevice*)
00000000002b167c   | _ZN3Cki6SystemD2Ev                       | Cki::System::~System()
00000000002d2084   | _ZN14MenuButtonBase14isPressedCheckEffb  | MenuButtonBase::isPressedCheck(float, float, bool)
00000000002d49b4   | _ZN22ChooseDifficultyScreenD0Ev          | ChooseDifficultyScreen::~ChooseDifficultyScreen()
000000000030adb0   | _ZN5AStarC2EPP4NodejPFfPKS0_S4_E         | AStar::AStar(Node**, unsigned int, float (*)(Node const*, Node const*))
00000000002bf7d8   | ogg_stream_packetpeek                    | ogg_stream_packetpeek
000000000026ed28   | _ZN12b2MotorJoint19SetCorrectionFactorEf | b2MotorJoint::SetCorrectionFactor(float)
00000000001c2c58   | _ZN15GameMultiplayer27serverResetClientConnectionEjbb | GameMultiplayer::serverResetClientConnection(unsigned int, bool, bool)
00000000001d318c   | _ZN14MissionManager33setGreatDemandMissionDropOffPointEP7TipSite | MissionManager::setGreatDemandMissionDropOffPoint(TipSite*)
000000000029d53c   | _ZN3Cki11AudioWriter5writeEPKii          | Cki::AudioWriter::write(int const*, int)
00000000002a8ad8   | _ZThn216_N3Cki11StreamSoundD1Ev          | non-virtual thunk to Cki::StreamSound::~StreamSound()
00000000002c8060   | _ZN10Transition15getIsreadyToDieEv       | Transition::getIsreadyToDie()
00000000003a0b18   | _ZNKSt6__ndk115__codecvt_utf16IwLb0EE11do_encodingEv | std::__ndk1::__codecvt_utf16<wchar_t, false>::do_encoding() const
00000000001f210c   | _ZNK4Tool11getNumBalesEv                 | Tool::getNumBales() const
000000000029a1b4   | _ZN3Cki5ArrayINS_6Effect11FactoryInfoEED2Ev | Cki::Array<Cki::Effect::FactoryInfo>::~Array()
000000000029aba4   | _ZThn16_N3Cki6EffectD0Ev                 | non-virtual thunk to Cki::Effect::~Effect()
00000000002bedb8   | ogg_stream_pageout                       | ogg_stream_pageout
00000000003a10d0   | _ZNKSt6__ndk115__codecvt_utf16IDsLb0EE9do_lengthER9mbstate_tPKcS5_m | std::__ndk1::__codecvt_utf16<char16_t, false>::do_length(mbstate_t&, char const*, char const*, unsigned long) const
00000000002a8160   | _ZN3Cki10SourceNode12processFixedEibRb   | Cki::SourceNode::processFixed(int, bool, bool&)
00000000002b5ffc   | vorbis_synthesis_blockin                 | vorbis_synthesis_blockin
00000000003a2e84   | _ZNKSt6__ndk120__time_get_c_storageIcE7__weeksEv | std::__ndk1::__time_get_c_storage<char>::__weeks() const
0000000000273d14   | _ZN24HandheldRenderDeviceBaseC2Ev        | HandheldRenderDeviceBase::HandheldRenderDeviceBase()
